Graph Name,No of sources of Evidences,Controller,Worst-Case Controller to Controller
USCARRIER.GRAPHML,4,106,13.0
USCARRIER.GRAPHML,4,46,21.0
USCARRIER.GRAPHML,4,51,21.0
USCARRIER.GRAPHML,4,52,20.0
USCARRIER.GRAPHML,4,76,18.0
USCARRIER.GRAPHML,4,91,14.0
USCARRIER.GRAPHML,4,133,15.0
UUNET.GRAPHML,2,13,1.0
UUNET.GRAPHML,2,9,2.0
UUNET.GRAPHML,2,45,2.0
UUNET.GRAPHML,2,25,2.0
UUNET.GRAPHML,2,4,2.0
UUNET.GRAPHML,2,27,2.0
UUNET.GRAPHML,2,31,2.0
UUNET.GRAPHML,2,33,2.0
UUNET.GRAPHML,2,14,2.0
UUNET.GRAPHML,2,43,2.0
UUNET.GRAPHML,3,41,6.0
UUNET.GRAPHML,3,34,5.0
UUNET.GRAPHML,3,44,5.0
UUNET.GRAPHML,3,46,5.0
UUNET.GRAPHML,3,28,5.0
UUNET.GRAPHML,3,17,6.0
UUNET.GRAPHML,3,25,3.0
UUNET.GRAPHML,3,38,5.0
UUNET.GRAPHML,3,7,5.0
UUNET.GRAPHML,3,48,4.0
UUNET.GRAPHML,3,1,6.0
UUNET.GRAPHML,3,4,4.0
UUNET.GRAPHML,4,48,4.0
UUNET.GRAPHML,4,36,6.0
UUNET.GRAPHML,4,39,6.0
UUNET.GRAPHML,4,37,6.0
UUNET.GRAPHML,4,35,5.0
UUNET.GRAPHML,4,47,5.0
UUNET.GRAPHML,4,34,5.0
UUNET.GRAPHML,4,22,4.0
UUNET.GRAPHML,4,43,4.0
UUNET.GRAPHML,4,21,4.0
UUNET.GRAPHML,4,7,4.0
UUNET.GRAPHML,4,5,4.0
