Graph Name,No of sources of Evidences,Controller,Sorted-Case Controller to Ranks
GARR201110.GRAPHML,3,20,0.2391304347826087
GARR201110.GRAPHML,3,14,0.1956521739130435
GARR201110.GRAPHML,4,39,0.5102040816326531
GARR201110.GRAPHML,4,55,0.4489795918367347
GARR201110.GRAPHML,4,57,0.32653061224489793
GEANT2001,2,3,0.5
GEANT2001,2,2,0.2727272727272727
GEANT2001,2,9,0.22727272727272727
GEANT2001,3,20,0.6666666666666666
GEANT2001,3,5,0.2857142857142857
GEANT2001,3,7,0.14285714285714285
GEANT2001,4,25,0.47619047619047616
GEANT2001,4,12,0.38095238095238093
GEANT2001,4,26,0.2857142857142857
GRNET.GRAPHML,2,30,0.5806451612903226
GRNET.GRAPHML,2,8,0.2903225806451613
GRNET.GRAPHML,2,20,0.25806451612903225
GRNET.GRAPHML,3,0,0.8787878787878788
GRNET.GRAPHML,3,26,0.8181818181818182
GRNET.GRAPHML,3,5,0.5454545454545454
GRNET.GRAPHML,4,29,0.8709677419354839
GRNET.GRAPHML,4,26,0.8064516129032258
GRNET.GRAPHML,4,16,0.16129032258064516
INTELLIFIBER.GRAPHML,2,6,1.1129032258064515
INTELLIFIBER.GRAPHML,2,15,0.25806451612903225
INTELLIFIBER.GRAPHML,2,24,0.1935483870967742
INTELLIFIBER.GRAPHML,3,15,0.288135593220339
INTELLIFIBER.GRAPHML,3,1,0.2711864406779661
INTELLIFIBER.GRAPHML,3,19,0.22033898305084745
INTELLIFIBER.GRAPHML,4,15,0.29310344827586204
INTELLIFIBER.GRAPHML,4,1,0.27586206896551724
INTELLIFIBER.GRAPHML,4,53,0.15517241379310345
INTEROUTE.GRAPHML,2,53,0.2235294117647059
INTEROUTE.GRAPHML,2,18,0.12941176470588237
INTEROUTE.GRAPHML,2,50,0.12941176470588237
INTEROUTE.GRAPHML,3,50,0.13414634146341464
INTEROUTE.GRAPHML,3,53,0.10975609756097561
INTEROUTE.GRAPHML,3,52,0.0975609756097561
INTEROUTE.GRAPHML,4,56,0.12941176470588237
INTEROUTE.GRAPHML,4,50,0.12941176470588237
INTEROUTE.GRAPHML,4,32,0.11764705882352941
ION.GRAPHML,2,64,0.4095238095238095
ION.GRAPHML,2,59,0.37142857142857144
ION.GRAPHML,2,48,0.23809523809523808
ION.GRAPHML,3,72,0.19
ION.GRAPHML,3,9,0.16
ION.GRAPHML,3,67,0.16
ION.GRAPHML,4,72,0.1919191919191919
ION.GRAPHML,4,9,0.1717171717171717
ION.GRAPHML,4,67,0.16161616161616163
JANETBACKBONE.GRAPHML,2,12,0.375
JANETBACKBONE.GRAPHML,2,17,0.2916666666666667
JANETBACKBONE.GRAPHML,2,13,0.16666666666666666
JANETBACKBONE.GRAPHML,3,15,0.47619047619047616
JANETBACKBONE.GRAPHML,3,14,0.38095238095238093
JANETBACKBONE.GRAPHML,3,3,0.23809523809523808
JANETBACKBONE.GRAPHML,4,16,0.5714285714285714
JANETBACKBONE.GRAPHML,4,27,0.3333333333333333
JANETBACKBONE.GRAPHML,4,15,0.23809523809523808
KDL,2,588,0.5968882602545968
KDL,2,428,0.3437057991513437
KDL,2,670,0.3338048090523338
KDL,3,61,0.19242902208201892
KDL,3,25,0.18769716088328076
KDL,3,126,0.16876971608832808
KDL,4,61,0.19242902208201892
KDL,4,25,0.18769716088328076
KDL,4,126,0.16876971608832808
LATNET.GRAPHML,2,30,1.5692307692307692
LATNET.GRAPHML,2,42,0.16923076923076924
LATNET.GRAPHML,2,48,0.1076923076923077
LATNET.GRAPHML,3,23,1.1379310344827587
LATNET.GRAPHML,3,38,0.5172413793103449
LATNET.GRAPHML,3,6,0.20689655172413793
LATNET.GRAPHML,4,48,2.203125
LATNET.GRAPHML,4,42,0.171875
LATNET.GRAPHML,4,22,0.09375
MISSOURI.GRAPHML,2,17,0.2857142857142857
MISSOURI.GRAPHML,2,16,0.20408163265306123
MISSOURI.GRAPHML,2,66,0.1836734693877551
MISSOURI.GRAPHML,3,16,0.4807692307692308
MISSOURI.GRAPHML,3,1,0.38461538461538464
MISSOURI.GRAPHML,3,17,0.2692307692307692
MISSOURI.GRAPHML,4,16,0.4716981132075472
MISSOURI.GRAPHML,4,1,0.37735849056603776
MISSOURI.GRAPHML,4,17,0.2641509433962264
NET2,2,32,0.3333333333333333
NET2,2,29,0.16666666666666666
NET2,2,9,0.16666666666666666
NET2,3,3,0.2
NET2,3,9,0.2
NET2,3,28,0.16
NET2,4,3,0.2
NET2,4,9,0.2
NET2,4,28,0.16
NIIF.GRAPHML,2,32,1.411764705882353
NIIF.GRAPHML,2,23,0.23529411764705882
NIIF.GRAPHML,3,25,0.8709677419354839
NIIF.GRAPHML,3,27,0.3548387096774194
NIIF.GRAPHML,3,5,0.1935483870967742
NIIF.GRAPHML,4,31,0.6206896551724138
NIIF.GRAPHML,4,12,0.41379310344827586
NIIF.GRAPHML,4,17,0.27586206896551724
NOEL.GRAPHML,2,15,0.5714285714285714
NOEL.GRAPHML,2,0,0.2857142857142857
NOEL.GRAPHML,2,9,0.21428571428571427
NOEL.GRAPHML,3,3,0.6428571428571429
NOEL.GRAPHML,3,2,0.42857142857142855
NOEL.GRAPHML,3,4,0.14285714285714285
NOEL.GRAPHML,4,0,0.35714285714285715
NOEL.GRAPHML,4,15,0.35714285714285715
NOEL.GRAPHML,4,9,0.2857142857142857
PIONIERL3.GRAPHML,2,0,1.0294117647058822
PIONIERL3.GRAPHML,2,34,0.5882352941176471
PIONIERL3.GRAPHML,2,6,0.5
PIONIERL3.GRAPHML,3,6,0.5
PIONIERL3.GRAPHML,3,8,0.5
PIONIERL3.GRAPHML,3,3,0.40625
PIONIERL3.GRAPHML,4,6,0.5454545454545454
PIONIERL3.GRAPHML,4,1,0.48484848484848486
PIONIERL3.GRAPHML,4,0,0.42424242424242425
REDIRIS.GRAPHML,2,16,0.46153846153846156
REDIRIS.GRAPHML,2,12,0.15384615384615385
REDIRIS.GRAPHML,2,3,0.15384615384615385
REDIRIS.GRAPHML,3,18,0.3333333333333333
REDIRIS.GRAPHML,3,0,0.16666666666666666
REDIRIS.GRAPHML,3,10,0.16666666666666666
REDIRIS.GRAPHML,4,3,0.9333333333333333
REDIRIS.GRAPHML,4,6,0.26666666666666666
REDIRIS.GRAPHML,4,13,0.13333333333333333
RENATER2010.GRAPHML,2,31,1.2
RENATER2010.GRAPHML,2,32,0.775
